연번,쉼터명,도로명주소,연면적(제곱미터),수용인원(명)
1,내당1동 행정복지센터,서구 서대구로 4길 35,217,54
2,서구종합사회복지관,서구 달구벌대로365길 3,440,109
3,"내당2,3동 행정복지센터",큰장로15길 11-1,217,25
4,내당2동 노인회,큰장로15길 14-20,63,15
5,장수경로당,큰장로9길 9-3,112,28
6,천일경로당,달구벌대로373길 2-24,173,43
7,내당경로당,평리로 408-13,184,46
8,삼화경로당,달구벌대로373길 7-5,136,34
9,DGB대구은행 내당동지점,달서로 1,433,30
10,DGB대구은행 서문시장지점,큰장로 81,212,30
11,서대구농협 내당지점,달구벌대로375길 33,316,35
12,MG새마을금고 반고개(본점),달서로4길 35,213,30
13,내당4동 행정복지센터,서대구로3길 46,326,82
14,비산1동 행정복지센터,북비산로65길18,266,66
15,"비산2,3동 행정복지센터",서구 국채보상로81길43,265,66
16,비룡경로당,서구 북비산로75길2-3,127,33
17,달성경로당,서구 달성공원로13-14,139,34
18,모범경로당,서구 달서로26길35-8,272,68
19,인동촌경로당,서구 북비산로74길17,80,33
20,서대구농협비산지점,서구 달서로 116,191,35
21,MG새마을금고 날뫼(본점),서구 북비산로74길17,247,30
22,MG새마을금고 비산(본점),서구 달서로26길10,396,50
23,서구종합자원봉사센터,서구 국채보상로399,184,46
24,비산4동 행정복지센터,국채보상로78길 29-4,423,25
25,MG새마을금고 달구벌(본점),달서로82,276,25
26,상록경로당,달서로18길 42-3,85,10
27,동흔경로당,국채보상로76길 27-1,93,10
28,일구경로당,평리로85길15,83,10
29,비산도서관,서구 달서로14길 13,100,20
30,비산5동 행정복지센터,달서천로65길 17,200,50
31,DGB대구은행 팔달영업부,팔달로 126,474,50
32,대구벧엘교회,달서천로57길 50,303,50
33,비산5동 제2경로당,달서천로61길 2-6,231,50
34,비산6동 행정복지센터,문화로67길3,273,70
35,비산6동 제1경로당,문화로69길 26-16,130,40
36,비산6동 제2경로당,달서로27길 13-1,110,40
37,DGB대구은행 북비산지점,달서로183,616,30
38,MG새마을금고 서대구(본점),달서로141,264,20
39,비산7동 행정복지센터,염색공단로5길4,661,165
40,MG새마을금고 만평(본점),서대구로62길4,1273,30
41,평리1동 행정복지센터,문화로 280,288,72
42,MG새마을금고 평상(본점),문화로 283,473,118
43,서구노인복지관,문화로 288,737,184
44,평리2동 행정복지센터,서구 국채보상로60길6,443,180
45,평리2동 경로당,서구 국채보상로60길35-9,180,50
46,평원경로당,서구 국채보상로66길38-8,183,30
47,서부경로당,서구 국채보상로336-6,108,30
48,평리롯데캐슬 경로당,서구 국채보상로316,190,30
49,MG새마을금고 평리(본점),서구 국채보상로304,343,40
50,평리3동 행정복지센터,서구 문화로261,250,62
51,평리경로당,서구 서대구로42길67-1,175,43
52,평안경로당,서구 서대구로42길47-15,84,21
53,새마을경로당,서구 서대구로36길5-16,159,39
54,IBK기업은행 평리동지점,서구 서대구로206,222,35
55,MG새마을금고 대평(본점),서구 문화로49길17,540,30
56,평리4동 행정복지센터,국채보상로46길 37-3,211,53
57,MG새마을금고 중평(본점),서대구로22길 10,199,49
58,MG새마을금고 중평(제1지점),국채보상로50길 20,99,24
59,평광경로당,국채보상로50길 42-37,108,37
60,청수경로당,국채보상로52길 27-35,71,55
61,장수경로당,평리로73길 11-15,88,56
62,평리청구경로당,서대구로77,100,30
63,만수경로당,평리로57길 15,26,22
64,평리푸르지오1단지아파트경로당,국채보상로50길20,119,60
65,평리5동 행정복지센터,서대구로37길 48,181,45
66,서대구농협 평리지점,서대구로 195,560,30
67,MG새마을금고 와룡(본점),국채보상로 161,342,30
68,평오경로당,국채보상로37안길 22,209,20
69,평리6동 행정복지센터,당산로86길13,213,50
70,복지경로당,서대구로41길10,60,15
71,DGB대구은행 평리동지점,북비산로156,568,30
72,상중이동 행정복지센터,당산로 343,669,202
73,중리상록경로당,서구 국채보상로36길16-2,129,32
74,상리2동 경로당,서구 가르뱅이로63-24,263,65
75,원대동 행정복지센터,달서로55길 5,44,15
76,MG새마을금고 원대(제1지점),서구 달서천로83길 12-1,263,30
77,MG새마을금고 원대(본점),서구 달서로 266-1,129,30
78,서구제일종합사회복지관,옥산로6길 9,30,20
79,성덕노인복지센터,"서구 달구벌대로371길39,1층",95,19
80,내당노인복지관,서구 서대구로3길 44,999,200
81,당산경로당,서구 달서로39길 24,181,45
82,만수정경로당,서구 달서로39길 24,181,45
83,거창경로당,서구 북비산로61길 43-5,185,46
84,비산1동경로당,서구 통학로52길 30,146,36
85,원상경로당,서구 통학로 49길 30-27,185,46
86,한국전력서대구지사,서구 달서로 85,90,18
87,비산5동 제1경로당,서구 서대구로 68길 60-9,198,40
88,비원도서관,서구 달서천로 61안길 10,250,50
89,비원노인복지관,서구 서대구로 268,1383,270
90,도기경로당,서구 국채보상로39길 9-2,191,60
91,영어도서관,서구 평리로 35길 90-6,651,130
92,서구치매안심센터,북비산로71길 7,267,66
93,장수경로당,달서로34길 13-14,40,10
94,쉼터경로당,달서로34길 23-6,25,6
95,들마을경로당,통학로30길 5-15,212,53
96,평산경로당,통학로40길 37-2,119,29
97,신도경로당,문화로313-14,147,36
98,서구어린이도서관,문화로 123,290,72
99,원고개도서관,달서로43길 12,71,17
100,평리119안전센터,달서천로 186,89,22
101,내당119안전센터,서대구로3길 16,43,10
102,비산119안전센터,달서로 206,52,13
103,이현119안전센터,국채보상로 119,70,17
104,새살림공동체,서대구로23길 12-1,314,35
105,대구쪽방상담소,문화로47길 13-3,492,20
106,만평주민도서관,서대구로66길 29-1,257,30
