정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
1570000140,,감문리,,대구광역시,달성군,하빈면,128.424021,35.890748,3,20+7+9
7001000100,5191,대명시장앞,Daemyeong Market,대구광역시,남구,대명3동,128.57713,35.85869,7,509+650+706+805+836+달서4+순환2-1
7001000200,20110,대명시장건너,Daemyeong Market,대구광역시,중구,남산4동,128.5778225,35.85865332,7,509+650+706+805+836+달서4-1+순환2
7001000300,2166,계명대학교대명캠퍼스앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5808483,35.85711167,7,509+650+706+805+836+달서4+순환2-1
7001000400,2163,계명대학교대명캠퍼스건너,Keimyung University Daemyeong Campus,대구광역시,중구,남산4동,128.5800067,35.857675,7,509+650+706+805+836+달서4-1+순환2
7001000500,21868,중부소방서건너,Jungbu Fire Station,대구광역시,중구,대신동,128.5755587,35.86312555,4,250+323+909+성서2
7001000600,21869,중부소방서앞,Jungbu Fire Station,대구광역시,중구,남산4동,128.5767557,35.86306947,3,250+323-1+급행6
7001000700,21867,대신센트럴자이,Daesin Central Xi,대구광역시,중구,대신동,128.5780004,35.86373532,5,250+323+909+급행6+성서2
7001000800,21866,청라언덕(신남)역(1번출구),Cheongna Hill(Sinnam) Station,대구광역시,중구,대신동,128.5811834,35.86469188,4,250+323+909+성서2
7001000900,21872,엘디스리젠트호텔건너,Eldis Regent Hotel,대구광역시,중구,남산2동,128.5867607,35.86604395,2,405+609
7001001000,21865,엘디스리젠트호텔앞,Eldis Regent Hotel,대구광역시,중구,성내2동,128.5852631,35.86594632,7,405+609+840+909+990+991+북구2
7001001100,21873,현대백화점.동아쇼핑건너,Hyundai Dept. Store. DongA Shopping Center,대구광역시,중구,남산2동,128.5902225,35.86588322,5,405+609+840+990+991
7001001300,2202,봉산문화거리앞,Bongsan Culture Street,대구광역시,중구,성내1동,128.5971833,35.864675,3,306+730+805
7001001400,21876,2호선반월당역1,Banwoldang Station,대구광역시,중구,성내1동,128.5956177,35.86525717,5,609+840+990+991+급행2
7001001500,21875,봉산문화거리건너,Bongsan Culture Street,대구광역시,중구,성내1동,128.5969349,35.86501817,4,306+649+730+805
7001001600,20089,반월당역(2번출구),Banwoldang Station,대구광역시,중구,남산1동,128.5932885,35.86265852,13,204+304+306+349+401+405+410+503+518+649+650+706+805
7001001700,20069,반월당역(1번출구)1,Banwoldang Station,대구광역시,중구,남산2동,128.5930899,35.86334652,8,306+349+401+405+410-1+503+650+805
7001001800,20088,남문시장건너2,Nammun Market,대구광역시,중구,남산1동,128.5920966,35.85955752,12,204+304+306+349+405+410+503+518+649+650+706+805
7001001900,20071,남문시장앞,Nammun Market,대구광역시,중구,남산1동,128.5920553,35.86018265,12,204+304+306+349+405+410-1+503+518+649+650+706+805
7001002000,20080,명덕역(6번출구),Myeongdeok Station,대구광역시,중구,남산1동,128.5912434,35.85780132,12,204+304+306+349+405+410+503+518+649+650+706+805
7001002100,20072,명덕역(7번출구),Myeongdeok Station,대구광역시,중구,남산1동,128.5909663,35.8579277,10,306+349+405+410-1+503+518+649+650+706+805
7001002200,418,명덕네거리1,Myeongdeok (4) Junction,대구광역시,남구,대명2동,128.59202,35.85682167,5,204+304+509+남구1+순환2-1
7001002300,20079,명덕네거리2,Myeongdeok (4) Junction,대구광역시,중구,남산1동,128.5924731,35.85689293,5,204+304+509+남구1-1+순환2
7001002400,20078,상수도사업본부건너,Waterworks HQ,대구광역시,중구,대봉2동,128.5961886,35.85648675,5,204+304+509+남구1-1+순환2
7001002500,5271,상수도사업본부,Waterworks HQ,대구광역시,남구,이천동,128.5972733,35.85602,5,204+304+509+남구1+순환2-1
7001002600,20090,명덕초등학교앞,Myeongdeok Elementary School,대구광역시,중구,남산1동,128.5881743,35.8568719,8,306+509+518+650+706+805+남구1-1+순환2
7001002700,9139,명덕초등학교건너,Myeongdeok Elementary School,대구광역시,남구,대명2동,128.588122,35.85667662,8,306+509+518+650+706+805+남구1+순환2-1
7001002800,20096,남산역(프린스호텔건너),Namsan Station,대구광역시,중구,남산3동,128.5848591,35.85658488,5,509+650+706+805+순환2
7001002900,416,남산역건너(프린스호텔앞),Namsan Station,대구광역시,남구,대명3동,128.5839741,35.85632937,8,306+509+518+650+706+805+남구1+순환2-1
7001003000,20111,경북공고앞,Gyeongbuk Technical High School,대구광역시,중구,남산3동,128.5828075,35.85790098,4,300+609+651+836
7001003100,20109,경북공고건너,Gyeongbuk Technical High School,대구광역시,중구,남산4동,128.5825722,35.85867212,5,300+609+651+808+836
7001003200,20112,남산초등학교앞,Namsan Elementary School,대구광역시,중구,남산2동,128.5825363,35.86238837,4,300+609+651+836
