주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
150-1-000002,삼덕네거리남편주차장,공영,노상,대구광역시 중구 동덕로 80,대구광역시 중구 대봉동 654-1,69,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,100000,현금,,대구시설공단,053-1577-6446,35.861918,128.6035616,2022-06-02
150-2-000001,경상감영공원주차장,공영,노외,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,61,1,미시행,평일+토요일+공휴일,7:30,23:00,7:30,23:00,7:30,23:00,유료,30,800,10,400,,8000,100000,현금+카드,,대구시설공단,053-253-6444,35.87267548,128.5916854,2022-06-02
150-2-000003,서문주차장,공영,노외,대구광역시 중구 큰장로26길 45,대구광역시 중구 대신동 115-378,642,1,미시행,평일+토요일+공휴일,7:00,22:00,7:00,22:00,7:00,22:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-255-4451,35.86890863,128.580781,2022-06-02
150-2-000005,약령시서편주차장,공영,노외,대구광역시 중구 남성로 61,대구광역시 중구 동성로3가 35-13,17,1,미시행,평일,8:00,18:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,,현금+카드,,대구시설공단,053-1577-6446,35.86728621,128.5933752,2022-06-02
150-2-000007,국채보상운동기념공원주차장,공영,노외,대구광역시 중구 공평로10길 25,대구광역시 중구 동인동2가 42,507,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,,5000,80000,카드,,대구시설공단,053-426-7840,35.86844014,128.601702,2022-06-02
150-3-000006,시청광장주차장,공영,부설,대구광역시 중구 국채보상로131길 17,대구광역시 중구 동인동2가 2-1,146,1,5부제,평일,7:00,22:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,10000,,현금+카드,,대구시설공단,053-803-5604,35.8706474,128.6018016,2022-06-02
151-1-000004,귀빈예식장동편주차장,공영,노상,대구광역시 동구 동대구로 454,대구광역시 동구 신천동 296-5,41,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,60000,현금,,대구시설공단,053-1577-6446,35.87073052,128.6265483,2022-06-02
151-1-000005,동대구초등서편주차장,공영,노상,대구광역시 동구 아양로8길 36,대구광역시 동구 신암동 184-12,41,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,80000,현금,,대구시설공단,053-1577-6446,35.87889844,128.619885,2022-06-02
151-1-000007,동서식품동편주차장,공영,노상,대구광역시 동구 동부로 22길 46,대구광역시 동구 신천동 323-3,25,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,60000,현금,,대구시설공단,053-1577-6446,35.872691,128.6265879,2022-06-02
151-1-000008,동원빌딩앞주차장,공영,노상,대구광역시 동구 동부로 22길 27,대구광역시 동구 신천동 325-7,24,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,60000,현금,,대구시설공단,053-1577-6446,35.8741386,128.6270981,2022-06-02
