호선,역명,자전거(대),보관대(조),경사로(m),자전거 보관 상세위치,공기주입기,운영시간
1,설화명곡역,0,0,160,없음,없음,운영안함
1,화원역,0,0,90,없음,없음,운영안함
1,대 곡 역,8,2,64,지하 2층 표내는 곳 통과 후 기능실 입구 앞,있음,06시-20시
1,진 천 역,8,2,67,지하 2층 고객안내센터 앞,있음,06시-20시
1,월 배 역,4,2,55,지하 2층 고객안내센터 앞,있음,06시-20시
1,월 촌 역,4,2,59,지하 1층 표내는곳 내 계단 옆,있음,06시-20시
1,서부정류장역,5,2,57,지하 1층 고객안내센터 옆 표내는곳 통과 후 복도 문 앞,있음,06시-20시
1,현 충 로 역,9,1,68,지하 1층 고객안내센터 앞,있음,06시-20시
1,영대병원역,6,1,71,지하 2층 안심행 계단 옆,있음,06시-20시
1,명 덕 역,6,1,50,지하 1층 고객안내센터 앞,있음,06시-20시
1,칠성시장역,9,2,93,지하 2층 1번 출구 방향,있음,06시-20시
1,신 천 역,7,2,71,지하 1층 설화명곡행 계단 옆,있음,06시-20시
1,동 대 구 역,7,2,84,지하 1층 1번 출구 방향,있음,06시-20시
1,동구청역,5,1,64,지하 1층 고객안내센터 앞,있음,06시-20시
1,아 양 교 역,13,2,102,지하 3층 고객안내센터 옆,있음,06시-20시
1,동 촌 역,20,2,95,지하 3층 고객안내센터 앞,있음,06시-20시
1,해 안 역,8,2,75,지하 3층 고객안내센터 앞,있음,06시-20시
1,율 하 역,6,2,58,지하 1층 안심행 종점 승강장 방향,있음,06시-20시
1,신 기 역,10,2,58,지하 1층 고객안내센터 앞,있음,06시-20시
1,반 야 월 역,6,1,57,지하 1층 고객안내센터 앞,있음,06시-20시
1,각 산 역,9,2,64,지하 1층 고객안내센터 앞,있음,06시-20시
2,문 양 역,8,2,58,지상 1층 주차장 출입구 옆,있음,06시-20시
2,대 실 역,22,3,125,지하 2층 화장실 입구 왼쪽 방향,있음,06시-20시
2,강 창 역,10,2,107,지하 2층 고객쉼터 옆,있음,06시-20시
2,계 명 대 역,13,3,92,지하 2층 영남대행 엘리베이터 옆,있음,06시-20시
2,성서산업단지역,8,3,82,지하 2층 EL2호기 옆,있음,06시-20시
2,이 곡 역,10,2,124,지하 1층 쏘유아울렛 의류매장 옆,있음,06시-20시
2,용 산 역,6,2,89,지하 2층 표내는곳 옆,있음,06시-20시
2,감 삼 역,8,2,96,지하 2층 자동발매기 옆,있음,06시-20시
2,두 류 역,5,2,80,지하 2층 표내는곳 내 가운데,있음,06시-20시
2,반 월 당 역,0,0,35,없음,없음,운영안함
2,경대병원역,17,2,90,지하 1층 화장실옆,있음,06시-20시
2,대구은행역,6,2,94,지하 1층 고객안내센터 옆,있음,06시-20시
2,범 어 역,6,2,94,지하 3층 고객안내센터 옆,있음,06시-20시
2,만 촌 역,5,2,96,지하 2층 발매기 옆,있음,06시-20시
2,연 호 역,4,1,96,지하 1층 화장실 옆,있음,06시-20시
2,대 공 원 역,4,1,109,지하 3층 표내는곳 앞,있음,06시-20시
2,고 산 역,5,2,74,지하 1층 화장실 앞,있음,06시-20시
2,신 매 역,4,1,72,지하 2층 영남대행 E/L 2호기 옆,있음,06시-20시
2,사 월 역,6,2,106,지하 3층 표 내기전 대합실 벽면,있음,06시-20시
2,정 평 역,8,2,80,지하 1층 고객안내센터 옆,있음,06시-20시
2,임 당 역,5,2,87,지하 1층 대합실 출구반대방향 안쪽 위치,있음,06시-20시
2,영 남 대 역,0,0,95,없음,없음,운영안함
