"备焙喊(1)","己喊(1)","楷飞喊(1)",楷飞喊(2),2021
"措备堡开矫","拌","拌",家拌,2405064
"措备堡开矫","拌","0 ~ 4技",家拌,71469
"措备堡开矫","拌","0 ~ 4技",0技,11708
"措备堡开矫","拌","0 ~ 4技",1技,12596
"措备堡开矫","拌","0 ~ 4技",2技,13928
"措备堡开矫","拌","0 ~ 4技",3技,15572
"措备堡开矫","拌","0 ~ 4技",4技,17665
"措备堡开矫","拌","5 ~ 9技",家拌,102402
"措备堡开矫","拌","5 ~ 9技",5技,19688
"措备堡开矫","拌","5 ~ 9技",6技,20182
"措备堡开矫","拌","5 ~ 9技",7技,19853
"措备堡开矫","拌","5 ~ 9技",8技,21097
"措备堡开矫","拌","5 ~ 9技",9技,21582
"措备堡开矫","拌","10 ~ 14技",家拌,105707
"措备堡开矫","拌","10 ~ 14技",10技,21753
"措备堡开矫","拌","10 ~ 14技",11技,20035
"措备堡开矫","拌","10 ~ 14技",12技,20546
"措备堡开矫","拌","10 ~ 14技",13技,22301
"措备堡开矫","拌","10 ~ 14技",14技,21072
"措备堡开矫","拌","15 ~ 19技",家拌,112733
"措备堡开矫","拌","15 ~ 19技",15技,20433
"措备堡开矫","拌","15 ~ 19技",16技,21127
"措备堡开矫","拌","15 ~ 19技",17技,22982
"措备堡开矫","拌","15 ~ 19技",18技,23317
"措备堡开矫","拌","15 ~ 19技",19技,24874
"措备堡开矫","拌","20 ~ 24技",家拌,154998
"措备堡开矫","拌","20 ~ 24技",20技,29401
"措备堡开矫","拌","20 ~ 24技",21技,31062
"措备堡开矫","拌","20 ~ 24技",22技,29875
"措备堡开矫","拌","20 ~ 24技",23技,31981
"措备堡开矫","拌","20 ~ 24技",24技,32679
"措备堡开矫","拌","25 ~ 29技",家拌,162781
"措备堡开矫","拌","25 ~ 29技",25技,33548
"措备堡开矫","拌","25 ~ 29技",26技,32476
"措备堡开矫","拌","25 ~ 29技",27技,32571
"措备堡开矫","拌","25 ~ 29技",28技,32221
"措备堡开矫","拌","25 ~ 29技",29技,31965
"措备堡开矫","拌","30 ~ 34技",家拌,140509
"措备堡开矫","拌","30 ~ 34技",30技,28799
"措备堡开矫","拌","30 ~ 34技",31技,29303
"措备堡开矫","拌","30 ~ 34技",32技,27910
"措备堡开矫","拌","30 ~ 34技",33技,26914
"措备堡开矫","拌","30 ~ 34技",34技,27583
"措备堡开矫","拌","35 ~ 39技",家拌,157314
"措备堡开矫","拌","35 ~ 39技",35技,28064
"措备堡开矫","拌","35 ~ 39技",36技,27690
"措备堡开矫","拌","35 ~ 39技",37技,30636
"措备堡开矫","拌","35 ~ 39技",38技,34219
"措备堡开矫","拌","35 ~ 39技",39技,36705
"措备堡开矫","拌","40 ~ 44技",家拌,177930
"措备堡开矫","拌","40 ~ 44技",40技,37494
"措备堡开矫","拌","40 ~ 44技",41技,37401
"措备堡开矫","拌","40 ~ 44技",42技,34377
"措备堡开矫","拌","40 ~ 44技",43技,33833
"措备堡开矫","拌","40 ~ 44技",44技,34825
"措备堡开矫","拌","45 ~ 49技",家拌,199343
"措备堡开矫","拌","45 ~ 49技",45技,35558
"措备堡开矫","拌","45 ~ 49技",46技,37896
"措备堡开矫","拌","45 ~ 49技",47技,41026
"措备堡开矫","拌","45 ~ 49技",48技,42241
"措备堡开矫","拌","45 ~ 49技",49技,42622
"措备堡开矫","拌","50 ~ 54技",家拌,216392
"措备堡开矫","拌","50 ~ 54技",50技,43933
"措备堡开矫","拌","50 ~ 54技",51技,43636
"措备堡开矫","拌","50 ~ 54技",52技,45371
"措备堡开矫","拌","50 ~ 54技",53技,42535
"措备堡开矫","拌","50 ~ 54技",54技,40917
"措备堡开矫","拌","55 ~ 59技",家拌,202127
"措备堡开矫","拌","55 ~ 59技",55技,40807
"措备堡开矫","拌","55 ~ 59技",56技,40577
"措备堡开矫","拌","55 ~ 59技",57技,37577
"措备堡开矫","拌","55 ~ 59技",58技,42677
"措备堡开矫","拌","55 ~ 59技",59技,40489
"措备堡开矫","拌","60 ~ 64技",家拌,194174
"措备堡开矫","拌","60 ~ 64技",60技,45202
"措备堡开矫","拌","60 ~ 64技",61技,42533
"措备堡开矫","拌","60 ~ 64技",62技,38177
"措备堡开矫","拌","60 ~ 64技",63技,34401
"措备堡开矫","拌","60 ~ 64技",64技,33861
