"행정구역별",2019,2020,2021
"전국",515.7,516.2,515.2
"서울특별시",15926.9,15839.0,15650.1
"부산광역시",4379.7,4348.9,4316.4
"대구광역시",2750.3,2728.6,2702.2
"인천광역시",2776.6,2765.1,2772.8
"광주광역시",2972.7,2948.5,2944.0
"대전광역시",2777.5,2758.1,2742.8
"울산광역시",1076.9,1069.0,1055.0
"세종특별자치시",727.3,761.3,787.7
"경기도",1305.0,1325.3,1338.9
"강원도",90.3,90.4,90.4
"충청북도",220.0,220.3,219.4
"충청남도",265.4,264.0,263.8
"전라북도",224.0,223.4,221.4
"전라남도",144.8,144.9,143.9
"경상북도",140.2,138.9,138.4
"경상남도",317.6,316.2,313.6
"제주도",359.4,362.6,363.8
